Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 2, 85.4420731707317%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 3, 86.66666666666667%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 4, 87.3502994011976%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 5, 84.46745562130178%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 6, 86.40350877192982%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 7, 86.04651162790698%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 8, 85.12931034482759%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 9, 84.80113636363636%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 10, 86.51685393258427%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 11, 87.08563535911603%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 12, 84.06593406593407%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 13, 86.00543478260869%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 14, 85.61827956989248%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 15, 87.63297872340425%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 16, 86.77631578947368%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 17, 85.68652849740933%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 18, 85.52295918367348%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 19, 87.5%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 20, 86.87810945273633%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 21, 87.06683168316832%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 22, 85.61893203883496%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 23, 86.77884615384616%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 24, 85.72274881516587%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 25, 86.9131455399061%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 26, 86.92396313364056%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 27, 87.38636363636364%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 28, 86.76801801801803%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 29, 87.38938053097345%
